cleanup_id,gvp_id,complaint_id,cleaned_date,response_time_hours,waste_collected_kg,cost_estimate,cleaned_by
CL00001,GVP111,C02537,2025-05-25,40,88.5,516.41,Team B
CL00002,GVP276,C01080,2025-11-23,75,97.0,551.91,Team B
CL00003,GVP212,C02415,2026-02-09,25,201.0,885.82,Team C
CL00004,GVP137,C00492,2026-06-11,55,74.4,469.93,Team A
CL00005,GVP028,C03610,2026-02-09,25,117.9,724.42,Team B
CL00006,GVP177,C03324,2026-06-04,43,117.1,711.79,Team D
CL00007,GVP187,C00448,2026-02-07,61,50.3,281.21,Team C
CL00008,GVP111,C03674,2025-08-23,36,162.1,996.19,Team C
CL00009,GVP132,C01020,2026-11-23,56,174.2,750.23,Team C
CL00010,GVP133,C00262,2026-08-02,26,49.8,307.59,Team D
CL00011,GVP067,C02519,2026-04-24,36,281.2,1677.11,Team D
CL00012,GVP292,C03803,2025-02-14,45,219.0,1314.39,Team C
CL00013,GVP283,C03820,2026-11-06,86,120.6,557.79,Team D
CL00014,GVP061,C03275,2026-09-19,87,91.6,486.6,Team B
CL00015,GVP075,C01423,2025-01-11,74,88.5,459.51,Team B
CL00016,GVP091,C00107,2025-07-16,91,156.7,764.19,Team D
CL00017,GVP294,C02370,2025-09-28,15,320,1480.41,Team B
CL00018,GVP141,C03978,2026-08-29,56,260.2,1140.4,Team D
CL00019,GVP147,C01222,2025-07-14,45,65.2,365.41,Team B
CL00020,GVP086,C03431,2026-01-27,58,146.5,960.38,Team A
CL00021,GVP286,C02695,2025-11-12,105,152.3,901.64,Team B
CL00022,GVP258,C00562,2025-06-08,10,134.0,830.47,Team C
CL00023,GVP210,C01414,2025-05-12,18,81.1,418.19,Team B
CL00024,GVP031,C01353,2025-10-15,65,92.0,629.0,Team A
CL00025,GVP013,C00417,2025-11-11,51,134.7,861.89,Team B
CL00026,GVP090,C03148,2025-10-06,52,89.9,564.49,Team C
CL00027,GVP257,C02683,2025-03-27,56,89.2,618.23,Team A
CL00028,GVP249,C01877,2026-09-06,19,91.8,575.1,Team D
CL00029,GVP149,C02463,2026-04-26,36,77.8,410.28,Team C
CL00030,GVP167,C00946,2026-04-23,94,105.5,620.92,Team C
CL00031,GVP099,C02198,2025-03-17,55,93.7,491.66,Team D
CL00032,GVP045,C02333,2025-04-26,54,94.4,634.89,Team C
CL00033,GVP232,C02490,2025-07-23,84,192.2,1132.24,Team B
CL00034,GVP180,C00431,2026-02-09,70,144.0,877.59,Team D
CL00035,GVP120,C01888,2026-02-26,69,94.1,522.15,Team D
CL00036,GVP234,C02641,2026-07-14,23,62.3,422.66,Team A
CL00037,GVP152,C01184,2026-08-26,52,117.0,601.22,Team A
CL00038,GVP271,C00265,2025-09-17,126,283.8,1595.47,Team D
CL00039,GVP251,C01834,2025-07-13,99,135.0,714.6,Team A
CL00040,GVP199,C00112,2025-04-13,64,83.0,390.64,Team C
CL00041,GVP253,C01177,2025-08-25,20,163.5,988.79,Team C
CL00042,GVP209,C01464,2025-07-08,40,56.3,412.69,Team A
CL00043,GVP203,C03031,2025-04-27,230,320,1808.01,Team A
CL00044,GVP168,C02892,2025-02-28,80,211.8,930.46,Team A
CL00045,GVP055,C01860,2025-06-23,23,95.9,599.26,Team C
CL00046,GVP260,C00176,2025-03-14,28,270.7,1633.54,Team C
CL00047,GVP126,C00846,2025-08-03,81,124.7,846.16,Team D
CL00048,GVP244,C03416,2026-11-09,37,111.3,642.02,Team C
CL00049,GVP025,C00816,2026-04-15,71,180.1,968.53,Team A
CL00050,GVP169,C00711,2026-11-25,62,150.5,836.48,Team A
CL00051,GVP028,C02239,2026-08-26,69,33.0,194.35,Team D
CL00052,GVP116,C00783,2026-09-11,94,56.9,366.13,Team A
CL00053,GVP056,C03343,2025-02-12,59,28.9,157.81,Team D
CL00054,GVP299,C00666,2026-02-06,64,172.8,928.55,Team B
CL00055,GVP004,C01762,2025-03-04,125,320,1930.81,Team B
CL00056,GVP236,C00579,2025-10-20,51,145.3,732.41,Team C
CL00057,GVP153,C02423,2026-10-31,79,232.2,1218.36,Team B
CL00058,GVP299,C00347,2026-11-23,20,138.4,805.92,Team C
CL00059,GVP155,C02536,2025-04-11,25,201.6,895.32,Team B
CL00060,GVP028,C00430,2025-06-25,74,105.6,595.18,Team B
CL00061,GVP251,C01194,2026-03-26,26,110.9,767.45,Team A
CL00062,GVP142,C03631,2026-07-25,65,145.6,921.87,Team D
CL00063,GVP158,C03202,2026-09-23,48,116.2,671.57,Team B
CL00064,GVP112,C03548,2026-09-17,14,105.1,620.25,Team C
CL00065,GVP292,C00221,2025-10-16,60,283.6,1628.06,Team A
CL00066,GVP156,C00238,2025-10-21,56,215.0,1029.85,Team C
CL00067,GVP093,C03676,2025-12-06,99,235.3,1074.91,Team D
CL00068,GVP237,C00854,2025-10-30,66,60.1,420.08,Team C
CL00069,GVP053,C00339,2026-01-21,40,130.0,598.32,Team A
CL00070,GVP272,C01085,2025-07-03,56,196.9,1123.23,Team C
CL00071,GVP139,C01119,2025-03-01,54,32.2,289.37,Team B
CL00072,GVP089,C01946,2026-03-22,29,115.1,706.03,Team C
CL00073,GVP139,C01815,2026-06-18,10,138.5,758.56,Team D
CL00074,GVP291,C02391,2025-07-10,29,99.0,543.91,Team D
CL00075,GVP132,C02581,2026-03-12,32,80.4,462.67,Team A
CL00076,GVP110,C02864,2025-03-18,78,152.3,997.7,Team B
CL00077,GVP065,C00338,2025-03-03,100,255.8,1371.3,Team B
CL00078,GVP294,C00193,2026-08-10,77,142.7,597.42,Team A
CL00079,GVP108,C02914,2026-08-30,24,66.0,414.5,Team D
