gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level
GVP001,17.755751,83.300573,24,23,0.9583333333333334,28.08695652173913,29.40909090909091,36,237,2,False,True,low,High
GVP002,17.761385,83.326976,19,18,0.9473684210526315,37.22222222222222,42.53333333333333,272,97,4,True,False,low,Medium
GVP003,17.725592,83.29557,27,26,0.9629629629629629,25.307692307692307,28.652173913043477,38,78,2,False,False,high,High
GVP004,17.734529,83.282137,24,21,0.875,24.130434782608695,22.63157894736842,193,87,3,False,True,high,Medium
GVP005,17.761638,83.328504,10,9,0.9,71.22222222222223,83.66666666666667,93,113,5,False,False,low,Low
GVP006,17.765725,83.31527,13,12,0.9230769230769231,54.833333333333336,73.0,199,116,5,False,False,medium,Medium
GVP007,17.767747,83.301536,36,35,0.9722222222222222,20.142857142857142,21.333333333333332,10,384,2,True,False,medium,High
GVP008,17.760466,83.286544,19,17,0.8947368421052632,38.666666666666664,40.666666666666664,10,204,1,False,False,medium,High
GVP009,17.741919,83.290425,14,12,0.8571428571428571,49.69230769230769,52.45454545454545,91,143,1,True,True,high,Medium
GVP010,17.744155,83.297302,18,16,0.8888888888888888,39.8235294117647,50.23076923076923,175,134,2,False,True,low,Medium
GVP011,17.756352,83.284774,14,13,0.9285714285714286,26.23076923076923,30.90909090909091,357,27,6,True,True,high,Low
GVP012,17.755568,83.300649,27,26,0.9629629629629629,25.884615384615383,26.88,10,140,1,True,False,medium,Medium
GVP013,17.732182,83.31828,15,14,0.9333333333333333,43.42857142857143,46.69230769230769,467,54,4,False,False,medium,Low
GVP014,17.756451,83.300095,24,23,0.9583333333333334,30.956521739130434,33.95238095238095,232,227,1,True,False,low,High
GVP015,17.730143,83.296568,19,18,0.9473684210526315,38.05555555555556,49.07142857142857,11,32,4,True,True,low,Medium
GVP016,17.73413,83.317922,14,12,0.8571428571428571,50.69230769230769,59.45454545454545,232,5,7,True,True,medium,Low
GVP017,17.734112,83.327633,8,7,0.875,72.42857142857143,83.0,198,157,2,False,True,low,Medium
GVP018,17.76433,83.326445,21,20,0.9523809523809523,34.3,40.470588235294116,330,127,4,False,True,medium,Medium
GVP019,17.766022,83.326596,31,30,0.967741935483871,22.7,25.44,373,93,3,True,True,high,High
GVP020,17.729345,83.291758,15,13,0.8666666666666667,48.5,51.84615384615385,267,113,2,False,True,low,Medium
GVP021,17.743341,83.320425,20,19,0.95,36.36842105263158,40.588235294117645,209,223,3,False,True,medium,Medium
GVP022,17.75299,83.284147,10,9,0.9,37.333333333333336,48.0,476,43,7,True,True,medium,Low
GVP023,17.765318,83.314372,10,7,0.7,65.77777777777777,77.0,241,22,4,False,True,medium,Low
GVP024,17.731713,83.292775,6,4,0.6666666666666666,112.6,140.5,13,134,4,False,False,low,Low
GVP025,17.760829,83.289375,13,12,0.9230769230769231,58.083333333333336,69.4,141,5,6,True,True,high,Medium
GVP026,17.767273,83.325984,22,21,0.9545454545454546,31.714285714285715,33.333333333333336,326,25,4,False,False,low,Medium
GVP027,17.723508,83.292113,21,20,0.9523809523809523,27.15,32.0,238,67,6,False,True,medium,Low
GVP028,17.768513,83.300519,21,20,0.9523809523809523,35.65,37.473684210526315,136,293,1,False,True,medium,High
GVP029,17.727185,83.298587,13,11,0.8461538461538461,57.833333333333336,62.90909090909091,220,57,5,False,False,low,Low
GVP030,17.756315,83.293045,11,10,0.9090909090909091,56.9,48.333333333333336,394,65,6,False,True,medium,Low
GVP031,17.767522,83.303712,30,29,0.9666666666666667,23.379310344827587,23.344827586206897,65,356,3,False,True,medium,High
GVP032,17.768369,83.288023,8,7,0.875,92.57142857142857,106.66666666666667,212,5,6,False,False,high,Low
GVP033,17.756798,83.295669,20,19,0.95,36.73684210526316,41.11764705882353,40,244,4,True,False,medium,Medium
GVP034,17.760476,83.308918,11,9,0.8181818181818182,65.9,73.33333333333333,398,76,7,False,True,low,Low
GVP035,17.742173,83.297943,16,15,0.9375,45.06666666666667,48.36363636363637,238,76,5,False,False,high,Medium
GVP036,17.732325,83.290255,23,22,0.9565217391304348,26.227272727272727,27.523809523809526,178,116,3,False,True,medium,Medium
GVP037,17.742278,83.291394,28,27,0.9642857142857143,24.40740740740741,27.5,75,191,1,False,True,medium,High
GVP038,17.756585,83.296053,6,5,0.8333333333333334,78.8,98.0,315,104,6,True,True,low,Low
GVP039,17.751746,83.328633,13,12,0.9230769230769231,53.416666666666664,57.81818181818182,139,58,4,True,False,high,Medium
GVP040,17.738283,83.326062,20,19,0.95,35.21052631578947,37.27777777777778,116,159,6,False,True,medium,Medium
GVP041,17.761873,83.313905,13,11,0.8461538461538461,59.5,70.4,190,35,6,True,True,low,Medium
GVP042,17.757621,83.295411,17,16,0.9411764705882353,42.75,48.857142857142854,292,84,7,True,False,medium,Low
GVP043,17.724068,83.303059,18,17,0.9444444444444444,39.705882352941174,45.2,388,5,4,True,False,low,Low
GVP044,17.760377,83.286686,28,27,0.9642857142857143,26.444444444444443,28.36,68,254,1,True,True,medium,High
GVP045,17.739283,83.293457,22,21,0.9545454545454546,30.904761904761905,34.05263157894737,151,230,3,True,True,high,High
GVP046,17.744407,83.282239,19,18,0.9473684210526315,38.611111111111114,43.4375,90,114,6,False,False,high,Medium
GVP047,17.729941,83.324073,14,13,0.9285714285714286,41.46153846153846,48.90909090909091,639,27,3,True,False,low,Low
GVP048,17.762011,83.302827,16,15,0.9375,43.6,65.4,134,37,7,True,True,high,Medium
GVP049,17.765496,83.29048,13,12,0.9230769230769231,56.75,39.1,285,16,6,False,True,high,Low
GVP050,17.72763,83.300658,17,14,0.8235294117647058,42.125,44.86666666666667,96,70,4,True,True,medium,Medium
GVP051,17.763934,83.326807,11,9,0.8181818181818182,59.7,66.66666666666667,328,18,5,True,True,medium,Low
GVP052,17.755141,83.31469,38,37,0.9736842105263158,18.72972972972973,21.625,10,268,2,False,False,medium,High
GVP053,17.745162,83.322558,18,17,0.9444444444444444,41.588235294117645,54.46153846153846,389,5,7,True,True,high,Medium
GVP054,17.732075,83.316974,19,18,0.9473684210526315,36.111111111111114,43.13333333333333,188,88,3,False,False,high,Medium
GVP055,17.734181,83.317597,17,16,0.9411764705882353,41.0625,41.0625,155,5,6,True,False,high,Medium
GVP056,17.767386,83.319467,23,22,0.9565217391304348,27.227272727272727,27.80952380952381,601,29,7,True,True,high,Medium
GVP057,17.745038,83.282638,18,17,0.9444444444444444,35.470588235294116,35.714285714285715,262,160,4,True,True,low,Medium
GVP058,17.728108,83.287001,16,15,0.9375,21.133333333333333,24.384615384615383,546,49,7,True,False,low,Low
GVP059,17.72967,83.305487,25,23,0.92,29.291666666666668,31.818181818181817,57,231,1,True,True,high,High
GVP060,17.770318,83.309677,28,27,0.9642857142857143,24.555555555555557,28.869565217391305,211,83,4,False,True,low,Medium
GVP061,17.762558,83.315139,8,7,0.875,85.28571428571429,119.6,282,151,3,False,True,low,Medium
GVP062,17.741507,83.294241,13,12,0.9230769230769231,43.083333333333336,43.083333333333336,145,111,5,False,True,medium,Low
GVP063,17.767311,83.314236,11,9,0.8181818181818182,57.5,64.11111111111111,158,97,6,False,True,high,Medium
GVP064,17.732479,83.328587,9,8,0.8888888888888888,70.375,59.42857142857143,78,53,3,False,True,high,Medium
GVP065,17.744446,83.282181,21,19,0.9047619047619048,31.95,35.22222222222222,263,146,4,True,True,high,Medium
GVP066,17.760131,83.289516,38,37,0.9736842105263158,19.56756756756757,21.757575757575758,10,292,1,True,False,medium,High
GVP067,17.718998,83.294401,23,22,0.9565217391304348,31.681818181818183,34.9,85,320,1,True,False,medium,High
GVP068,17.740354,83.295661,30,29,0.9666666666666667,24.689655172413794,31.217391304347824,10,328,3,True,False,high,High
GVP069,17.719284,83.329341,11,10,0.9090909090909091,61.6,68.66666666666667,189,91,2,True,True,high,Medium
GVP070,17.725909,83.307019,12,11,0.9166666666666666,53.72727272727273,53.90909090909091,133,126,4,False,True,low,Low
GVP071,17.743281,83.282194,15,14,0.9333333333333333,48.642857142857146,61.90909090909091,10,5,5,True,False,medium,Medium
GVP072,17.756542,83.28897,11,10,0.9090909090909091,63.8,91.42857142857143,580,76,4,False,True,low,Medium
GVP073,17.725568,83.302119,17,16,0.9411764705882353,40.25,42.8,49,171,1,False,True,medium,Medium
GVP074,17.730002,83.318556,15,14,0.9333333333333333,48.714285714285715,68.1,650,5,4,True,True,medium,Medium
GVP075,17.755967,83.298171,20,19,0.95,36.421052631578945,43.125,79,265,1,True,True,medium,Medium
GVP076,17.764983,83.314935,10,8,0.8,63.0,58.714285714285715,200,5,2,True,True,low,Medium
GVP077,17.757062,83.300717,26,25,0.9615384615384616,28.28,30.73913043478261,165,203,1,False,True,medium,High
GVP078,17.752462,83.326616,2,1,0.5,11.0,10.0,97,55,6,True,False,medium,Low
GVP079,17.740491,83.293044,16,15,0.9375,44.8,61.18181818181818,150,115,4,True,True,high,Medium
GVP080,17.759621,83.308334,6,5,0.8333333333333334,95.8,95.8,352,12,7,False,False,medium,Low
GVP081,17.741292,83.298324,18,16,0.8888888888888888,33.470588235294116,37.8,35,312,1,True,False,high,High
GVP082,17.757448,83.312766,22,21,0.9545454545454546,32.61904761904762,34.3,181,21,7,False,False,high,Medium
GVP083,17.764219,83.320288,21,19,0.9047619047619048,35.4,35.21052631578947,579,5,5,True,False,medium,Medium
GVP084,17.769228,83.309157,8,7,0.875,92.42857142857143,92.28571428571429,242,44,4,True,False,low,Low
GVP085,17.754921,83.283849,15,14,0.9333333333333333,45.214285714285715,57.45454545454545,315,42,7,False,True,low,Medium
GVP086,17.762823,83.315216,15,14,0.9333333333333333,47.357142857142854,47.285714285714285,173,52,5,True,True,low,Medium
GVP087,17.738365,83.319216,7,6,0.8571428571428571,88.33333333333333,105.8,396,23,5,True,False,medium,Low
GVP088,17.764552,83.295024,16,15,0.9375,42.93333333333333,45.785714285714285,188,264,4,False,False,low,Medium
GVP089,17.724333,83.300587,14,13,0.9285714285714286,48.92307692307692,42.55555555555556,174,273,2,True,True,low,Medium
GVP090,17.767449,83.327899,9,8,0.8888888888888888,70.25,130.25,215,58,3,False,True,medium,Low
GVP091,17.74651,83.326329,12,11,0.9166666666666666,61.90909090909091,75.66666666666667,209,151,5,False,False,medium,Low
GVP092,17.732046,83.292077,4,3,0.75,84.0,123.5,92,73,5,True,False,medium,Low
GVP093,17.722439,83.317051,15,14,0.9333333333333333,40.142857142857146,43.23076923076923,165,66,1,True,True,low,Medium
GVP094,17.744688,83.320325,10,9,0.9,76.22222222222223,85.875,356,5,7,False,True,medium,Low
GVP095,17.757994,83.305624,14,12,0.8571428571428571,47.15384615384615,67.0,10,157,3,False,True,high,Medium
GVP096,17.732715,83.329529,8,6,0.75,96.42857142857143,112.66666666666667,72,157,3,False,False,medium,Medium
GVP097,17.721479,83.316176,6,5,0.8333333333333334,93.4,116.75,162,117,5,False,True,medium,Low
GVP098,17.76447,83.317726,13,12,0.9230769230769231,53.0,58.27272727272727,233,78,7,True,True,high,Medium
GVP099,17.737255,83.324864,15,14,0.9333333333333333,49.5,62.36363636363637,175,131,6,True,False,high,Medium
GVP100,17.758476,83.286241,10,9,0.9,60.888888888888886,68.5,349,5,5,True,True,low,Low
GVP101,17.734352,83.326868,11,10,0.9090909090909091,65.1,93.14285714285714,233,95,4,True,False,medium,Low
GVP102,17.737642,83.318203,11,10,0.9090909090909091,60.3,66.77777777777777,501,31,7,True,True,medium,Low
GVP103,17.728854,83.324424,5,2,0.4,119.0,116.0,550,5,7,False,False,low,Low
GVP104,17.766648,83.315963,15,14,0.9333333333333333,48.42857142857143,56.916666666666664,196,109,4,False,True,medium,Medium
GVP105,17.760011,83.310141,13,12,0.9230769230769231,52.916666666666664,57.63636363636363,429,41,5,False,False,high,Medium
GVP106,17.744992,83.325622,22,21,0.9545454545454546,33.333333333333336,36.68421052631579,18,186,1,True,False,medium,High
GVP107,17.764564,83.304827,5,4,0.8,93.5,105.0,344,65,5,False,True,high,Low
GVP108,17.726977,83.285742,16,15,0.9375,44.86666666666667,48.142857142857146,537,64,6,False,False,high,Medium
GVP109,17.752017,83.301276,10,9,0.9,77.88888888888889,87.625,10,176,2,True,False,high,Medium
GVP110,17.728235,83.326419,13,12,0.9230769230769231,53.416666666666664,58.18181818181818,230,61,4,False,False,high,Medium
GVP111,17.756107,83.312687,20,19,0.95,35.578947368421055,42.25,214,32,6,True,True,high,High
GVP112,17.756587,83.306033,25,24,0.96,29.25,29.208333333333332,130,67,2,True,True,high,High
GVP113,17.731367,83.318042,8,7,0.875,89.0,104.16666666666667,186,69,5,False,True,low,Low
GVP114,17.76664,83.290414,13,12,0.9230769230769231,55.75,60.81818181818182,341,34,7,False,True,medium,Medium
GVP115,17.725307,83.30115,30,28,0.9333333333333333,23.344827586206897,25.96153846153846,10,177,1,True,False,high,High
GVP116,17.758352,83.303402,22,21,0.9545454545454546,30.285714285714285,33.94444444444444,207,201,2,False,True,medium,High
GVP117,17.734261,83.318785,7,5,0.7142857142857143,115.0,123.0,201,37,6,True,True,medium,Low
GVP118,17.725495,83.29782,9,8,0.8888888888888888,75.375,75.625,32,122,4,False,False,medium,Medium
GVP119,17.766295,83.327229,11,10,0.9090909090909091,67.1,83.75,270,141,3,True,True,medium,Medium
GVP120,17.765674,83.294076,11,10,0.9090909090909091,69.3,76.88888888888889,201,127,2,False,False,low,Medium
GVP121,17.766215,83.327583,8,6,0.75,93.28571428571429,65.5,265,55,4,False,True,medium,Medium
GVP122,17.762857,83.313543,12,11,0.9166666666666666,54.27272727272727,66.55555555555556,10,400,2,False,True,low,Medium
GVP123,17.765843,83.292153,9,8,0.8888888888888888,76.125,87.28571428571429,10,176,5,True,False,medium,Low
GVP124,17.744145,83.281302,15,14,0.9333333333333333,49.214285714285715,63.0,120,8,4,True,False,low,Medium
GVP125,17.758058,83.298965,10,9,0.9,65.88888888888889,98.33333333333333,10,186,1,False,True,low,Medium
GVP126,17.724637,83.29993,15,14,0.9333333333333333,46.92857142857143,54.916666666666664,127,301,1,True,True,low,Medium
GVP127,17.754253,83.281118,3,2,0.6666666666666666,325.5,326.0,393,5,7,False,False,medium,Low
GVP128,17.731391,83.295498,7,5,0.7142857142857143,102.83333333333333,94.4,91,119,4,False,False,medium,Low
GVP129,17.767716,83.291053,12,11,0.9166666666666666,54.18181818181818,53.90909090909091,326,5,6,True,True,high,Low
GVP130,17.724465,83.293548,19,17,0.8947368421052632,36.611111111111114,45.38461538461539,36,84,2,True,True,low,Medium
GVP131,17.741333,83.291069,6,5,0.8333333333333334,109.0,109.0,316,151,6,True,True,medium,Low
GVP132,17.718956,83.317184,17,16,0.9411764705882353,37.625,53.63636363636363,16,182,6,False,False,high,Medium
GVP133,17.75266,83.301152,24,23,0.9583333333333334,26.391304347826086,33.72222222222222,23,231,3,False,False,low,High
GVP134,17.744325,83.322247,8,7,0.875,85.14285714285714,85.57142857142857,396,84,6,False,False,medium,Low
GVP135,17.75904,83.295229,20,19,0.95,30.157894736842106,30.105263157894736,197,198,1,True,True,high,High
GVP136,17.744384,83.291367,22,21,0.9545454545454546,33.76190476190476,35.55,192,285,1,False,True,medium,High
GVP137,17.762507,83.312761,19,17,0.8947368421052632,34.44444444444444,40.61538461538461,204,79,2,False,True,medium,Medium
GVP138,17.757624,83.295661,5,4,0.8,84.75,111.0,290,51,6,False,True,low,Low
GVP139,17.73134,83.292435,13,12,0.9230769230769231,53.583333333333336,58.36363636363637,220,54,3,False,True,low,Medium
GVP140,17.75773,83.292599,19,18,0.9473684210526315,28.666666666666668,32.3125,46,286,2,True,True,low,High
GVP141,17.72839,83.29397,33,31,0.9393939393939394,22.625,24.033333333333335,145,50,3,True,True,medium,High
GVP142,17.755279,83.314725,19,18,0.9473684210526315,38.0,42.625,41,268,1,True,False,low,High
GVP143,17.730867,83.316036,8,7,0.875,81.85714285714286,115.8,512,54,7,True,False,low,Low
GVP144,17.767522,83.311801,7,6,0.8571428571428571,95.33333333333333,95.33333333333333,492,35,5,False,True,high,Low
GVP145,17.754745,83.288908,13,12,0.9230769230769231,44.75,75.85714285714286,511,43,5,True,True,medium,Medium
GVP146,17.759549,83.292738,20,19,0.95,34.21052631578947,36.22222222222222,10,396,1,True,True,low,High
GVP147,17.74112,83.290819,18,17,0.9444444444444444,36.11764705882353,36.0,122,277,3,False,False,high,High
GVP148,17.765081,83.316096,4,3,0.75,116.66666666666667,117.0,224,63,5,False,False,low,Low
GVP149,17.732613,83.31851,13,12,0.9230769230769231,50.25,50.416666666666664,192,103,5,False,False,low,Medium
GVP150,17.726148,83.305247,4,3,0.75,206.66666666666666,310.0,120,114,6,False,False,medium,Low
GVP151,17.746169,83.321252,15,13,0.8666666666666667,42.714285714285715,49.666666666666664,149,115,5,True,True,medium,Medium
GVP152,17.729055,83.294863,15,14,0.9333333333333333,44.07142857142857,44.0,157,93,1,True,True,low,Medium
GVP153,17.736085,83.31433,15,14,0.9333333333333333,44.642857142857146,47.76923076923077,168,189,7,True,False,low,Medium
GVP154,17.72279,83.28999,12,11,0.9166666666666666,33.72727272727273,41.333333333333336,66,41,5,True,True,low,Medium
GVP155,17.763804,83.303222,12,11,0.9166666666666666,55.72727272727273,55.72727272727273,249,86,7,True,False,low,Low
GVP156,17.735633,83.284577,9,8,0.8888888888888888,79.5,91.0,83,76,4,False,True,low,Low
GVP157,17.741662,83.295075,7,6,0.8571428571428571,84.16666666666667,95.0,189,92,3,False,True,medium,Low
GVP158,17.719635,83.330911,19,18,0.9473684210526315,30.88888888888889,39.0,10,53,3,False,True,low,Medium
GVP159,17.721712,83.296071,20,19,0.95,32.21052631578947,38.266666666666666,111,378,1,False,True,medium,High
GVP160,17.757028,83.313147,8,7,0.875,77.28571428571429,78.0,209,62,6,False,True,medium,Medium
GVP161,17.722748,83.293264,6,4,0.6666666666666666,131.2,124.5,65,124,3,True,True,low,Medium
GVP162,17.744459,83.291418,29,28,0.9655172413793104,24.857142857142858,28.958333333333332,49,224,1,False,False,high,High
GVP163,17.747032,83.325745,18,17,0.9444444444444444,39.470588235294116,42.0,144,207,3,False,False,high,Medium
GVP164,17.725873,83.298718,13,12,0.9230769230769231,54.083333333333336,54.083333333333336,148,219,3,True,True,high,High
GVP165,17.743672,83.296618,19,18,0.9473684210526315,32.55555555555556,38.06666666666667,216,122,3,True,False,high,Medium
GVP166,17.758446,83.295822,3,2,0.6666666666666666,92.0,92.5,315,13,5,True,True,medium,Low
GVP167,17.764447,83.321495,9,7,0.7777777777777778,78.375,98.16666666666667,569,46,7,True,True,medium,Medium
GVP168,17.740334,83.296207,25,24,0.96,29.583333333333332,30.91304347826087,42,344,2,True,True,medium,High
GVP169,17.762131,83.32954,16,15,0.9375,44.93333333333333,45.13333333333333,190,199,3,True,False,high,High
GVP170,17.765711,83.326174,10,9,0.9,59.888888888888886,60.333333333333336,283,32,4,False,True,medium,Low
GVP171,17.726695,83.305608,9,8,0.8888888888888888,74.875,85.28571428571429,353,5,7,True,True,medium,Low
GVP172,17.768161,83.309181,9,8,0.8888888888888888,81.5,93.14285714285714,189,105,4,True,True,medium,Medium
GVP173,17.764307,83.316198,11,9,0.8181818181818182,62.7,65.0,179,104,4,True,False,medium,Medium
GVP174,17.764592,83.302538,9,8,0.8888888888888888,74.375,73.875,247,5,7,False,False,medium,Low
GVP175,17.72704,83.286251,13,12,0.9230769230769231,56.25,63.2,423,5,5,True,False,medium,Low
GVP176,17.731321,83.293148,7,4,0.5714285714285714,110.83333333333333,205.0,263,33,3,True,False,medium,Medium
GVP177,17.747677,83.297466,5,4,0.8,54.25,54.25,575,56,6,False,True,medium,Low
GVP178,17.724994,83.2928,9,8,0.8888888888888888,67.5,77.0,134,174,3,False,False,low,Low
GVP179,17.732491,83.29037,15,14,0.9333333333333333,48.07142857142857,74.77777777777777,272,103,2,True,True,medium,Medium
GVP180,17.728794,83.294125,14,12,0.8571428571428571,54.07692307692308,56.0,59,123,2,True,True,medium,Medium
GVP181,17.724909,83.289571,12,11,0.9166666666666666,57.0,75.625,233,15,6,False,False,high,Medium
GVP182,17.74444,83.29553,9,8,0.8888888888888888,67.75,76.0,264,95,2,True,False,medium,Medium
GVP183,17.746843,83.281316,11,10,0.9090909090909091,64.7,72.11111111111111,220,35,7,True,False,high,Medium
GVP184,17.756876,83.312528,12,11,0.9166666666666666,59.81818181818182,66.0,184,59,6,False,False,medium,Medium
GVP185,17.756848,83.295236,9,8,0.8888888888888888,86.0,85.875,246,72,6,True,True,low,Low
GVP186,17.754643,83.31212,22,21,0.9545454545454546,30.952380952380953,34.26315789473684,41,224,1,True,True,medium,High
GVP187,17.71996,83.316128,10,9,0.9,69.66666666666667,78.5,10,139,4,False,True,medium,Medium
GVP188,17.726162,83.304276,10,9,0.9,61.77777777777778,61.666666666666664,114,210,5,True,True,low,Medium
GVP189,17.721525,83.329951,7,6,0.8571428571428571,85.83333333333333,85.66666666666667,10,107,4,True,True,medium,Medium
GVP190,17.771175,83.309836,14,13,0.9285714285714286,51.15384615384615,55.416666666666664,158,58,3,True,True,medium,Medium
GVP191,17.720132,83.328532,5,4,0.8,123.5,124.0,193,63,4,True,True,medium,Low
GVP192,17.76068,83.28774,19,18,0.9473684210526315,40.166666666666664,40.05555555555556,244,48,5,True,False,low,Medium
GVP193,17.735734,83.297271,15,14,0.9333333333333333,44.357142857142854,51.75,257,67,3,True,False,high,Medium
