gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level,cluster_id,risk_score,computed_risk_tier,predicted_root_cause,days_since_last_cleanup,cluster_avg_recurrence_rate,cluster_size,near_school_num,near_bus_stop_num,population_density_num,composite_vulnerability,rf_predicted_recurrence_rate,worst_factor,recommended_action
GVP007,17.767747,83.301536,36,35,0.9722222222222222,20.142857142857142,21.33333333333333,10,384,2,True,False,medium,High,0,0.96,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953468849707752,235,1,0,1,0.8911904761904762,0.98,Far from nearest bin,Install new waste bin within 100m
GVP052,17.755141,83.31469,38,37,0.9736842105263158,18.72972972972973,21.625,10,268,2,False,False,medium,High,0,0.902,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.89534063715751,235,0,0,1,0.8361904761904763,0.958,Far from nearest bin,Install new waste bin within 100m
GVP066,17.760131,83.289516,38,37,0.9736842105263158,19.56756756756757,21.75757575757576,10,292,1,True,False,medium,High,0,0.9308,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.89534063715751,235,1,0,1,0.8797619047619047,0.9555,Far from nearest bin,Install new waste bin within 100m
GVP286,17.740499,83.296311,28,27,0.9642857142857144,26.07407407407408,29.33333333333333,91,366,1,True,True,low,High,0,0.9442,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953808016713586,235,1,1,0,0.7845119047619048,0.9417,Far from nearest bin,Install new waste bin within 100m
GVP292,17.729413,83.303331,27,26,0.9629629629629628,26.346153846153847,29.565217391304348,10,240,1,False,True,high,High,0,0.8986,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953864544547893,235,0,1,2,0.7510119047619048,0.9272,Far from nearest bin,Install new waste bin within 100m
GVP146,17.759549,83.292738,20,19,0.95,34.21052631578947,36.22222222222222,10,396,1,True,True,low,High,0,0.9705,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8954418517324088,235,1,1,0,0.7872619047619048,0.923,Far from nearest bin,Install new waste bin within 100m
GVP284,17.740995,83.290621,27,26,0.9629629629629628,26.923076923076923,30.47826086956522,10,220,1,False,False,high,High,0,0.8885,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953864544547893,235,0,0,2,0.7385119047619049,0.9197,Far from nearest bin,Install new waste bin within 100m
GVP168,17.740334,83.296207,25,24,0.96,29.58333333333333,30.91304347826087,42,344,2,True,True,medium,High,0,0.9255,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953991166896738,235,1,1,1,0.7486071428571429,0.9178,Far from nearest bin,Install new waste bin within 100m
GVP068,17.740354,83.295661,30,29,0.9666666666666668,24.6896551724138,31.217391304347824,10,328,3,True,False,high,High,0,0.9119,High,"no_bin_nearby, market_proximity, chronic_recurrence",0,0.8953706266611837,235,1,0,2,0.7751190476190476,0.9148,Far from nearest bin,Install new waste bin within 100m
GVP162,17.744459,83.291418,29,28,0.9655172413793104,24.857142857142858,28.95833333333333,49,224,1,False,False,high,High,0,0.8828,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence",0,0.8953755387350613,235,0,0,2,0.7325119047619049,0.9148,Far from nearest bin,Install new waste bin within 100m
