gvp_id,ward_id,lat,lon,distance_to_market_m,distance_to_nearest_bin_m,bin_count_within_100m,collection_frequency_per_week,road_type,zone_type,population_density,near_school,near_bus_stop,near_drainage,first_reported_date,original_black_spot,risk_level
GVP001,18,17.725903,83.300906,87,223,2,1,main,commercial,medium,TRUE,TRUE,FALSE,2025-01-22,TRUE,High
GVP002,18,17.744834,83.319845,149,148,0,5,main,commercial,medium,TRUE,TRUE,FALSE,2025-02-11,TRUE,Medium
GVP003,18,17.73423,83.29929,234,133,2,4,main,commercial,medium,TRUE,TRUE,FALSE,2025-01-04,TRUE,Medium
GVP004,18,17.756918,83.299895,46,205,3,1,main,residential,medium,FALSE,FALSE,TRUE,2025-02-22,TRUE,High
GVP005,18,17.75532,83.329323,200,115,3,4,main,residential,low,TRUE,TRUE,TRUE,2025-02-12,TRUE,Medium
GVP006,18,17.761555,83.289117,156,24,2,6,main,residential,medium,FALSE,FALSE,TRUE,2025-02-14,TRUE,Low
GVP007,18,17.75381,83.2827,466,42,4,7,interior,commercial,medium,FALSE,TRUE,FALSE,2025-02-10,TRUE,Low
GVP008,18,17.723367,83.290438,181,35,1,5,main,commercial,high,TRUE,TRUE,TRUE,2025-02-06,TRUE,Low
GVP009,18,17.767447,83.310687,424,19,0,5,main,mixed,medium,TRUE,FALSE,FALSE,2025-02-08,TRUE,Low
GVP010,18,17.725768,83.304403,392,33,3,5,interior,commercial,medium,TRUE,TRUE,TRUE,2025-02-17,TRUE,Low
GVP011,18,17.761443,83.288072,43,237,0,2,main,mixed,medium,TRUE,TRUE,FALSE,2025-02-11,TRUE,High
GVP012,18,17.74592,83.325413,99,173,2,2,main,mixed,high,FALSE,TRUE,TRUE,2025-02-21,TRUE,High
GVP013,18,17.729996,83.304639,61,211,0,1,main,commercial,medium,FALSE,TRUE,FALSE,2025-01-29,TRUE,High
GVP014,18,17.731023,83.291342,153,104,1,3,interior,residential,medium,TRUE,FALSE,FALSE,2025-02-21,TRUE,Medium
GVP015,18,17.725995,83.299427,81,142,1,5,interior,residential,medium,FALSE,TRUE,FALSE,2025-01-30,TRUE,Medium
GVP016,18,17.75624,83.2885,530,35,1,5,main,residential,high,FALSE,TRUE,FALSE,2025-02-12,TRUE,Low
GVP017,18,17.747414,83.28107,229,32,0,7,main,commercial,low,TRUE,TRUE,FALSE,2025-01-14,TRUE,Low
GVP018,18,17.758184,83.296299,74,224,4,1,interior,residential,low,FALSE,FALSE,FALSE,2025-02-22,TRUE,High
GVP019,18,17.727592,83.305527,93,124,3,5,main,mixed,low,TRUE,TRUE,TRUE,2025-01-31,TRUE,Medium
GVP020,18,17.747824,83.296299,521,49,4,5,interior,residential,high,TRUE,TRUE,TRUE,2025-01-18,TRUE,Low
GVP021,18,17.742609,83.281393,85,65,0,5,interior,commercial,high,TRUE,FALSE,FALSE,2025-02-02,TRUE,Medium
GVP022,18,17.767075,83.314961,182,128,2,5,main,commercial,low,FALSE,TRUE,FALSE,2025-01-29,TRUE,Medium
GVP023,18,17.732032,83.283656,187,30,2,7,main,residential,high,FALSE,TRUE,FALSE,2025-02-26,TRUE,Low
GVP024,18,17.757334,83.284706,389,18,3,5,main,mixed,low,TRUE,FALSE,FALSE,2025-01-22,TRUE,Low
GVP025,18,17.735926,83.316108,110,113,0,4,interior,mixed,medium,FALSE,TRUE,FALSE,2025-01-22,TRUE,Medium
GVP026,18,17.745613,83.283215,219,126,1,4,main,residential,medium,FALSE,TRUE,TRUE,2025-01-18,TRUE,Medium
GVP027,18,17.762479,83.313799,26,343,2,2,interior,residential,high,FALSE,FALSE,TRUE,2025-01-18,TRUE,High
GVP028,18,17.729167,83.324764,559,13,2,7,main,mixed,low,FALSE,TRUE,TRUE,2025-01-05,TRUE,Low
GVP029,18,17.720577,83.329715,91,93,3,4,interior,mixed,low,TRUE,TRUE,TRUE,2025-01-11,TRUE,Medium
GVP030,18,17.730088,83.2956,72,93,2,3,main,commercial,medium,TRUE,FALSE,FALSE,2025-02-21,TRUE,Medium
GVP031,18,17.720767,83.316654,124,62,4,3,main,mixed,medium,TRUE,FALSE,TRUE,2025-02-12,TRUE,Medium
GVP032,18,17.74475,83.321731,371,51,3,7,interior,mixed,low,TRUE,FALSE,TRUE,2025-02-23,TRUE,Low
GVP033,18,17.740235,83.297378,91,330,0,1,main,residential,low,FALSE,FALSE,TRUE,2025-01-04,TRUE,High
GVP034,18,17.763527,83.313527,230,70,2,4,main,mixed,medium,TRUE,FALSE,TRUE,2025-01-11,TRUE,Medium
GVP035,18,17.733162,83.328089,174,94,4,3,interior,residential,low,FALSE,TRUE,FALSE,2025-01-12,TRUE,Medium
GVP036,18,17.724195,83.293946,52,150,1,2,main,mixed,low,TRUE,FALSE,TRUE,2025-01-10,TRUE,High
GVP037,18,17.739699,83.294982,85,252,1,1,main,mixed,high,TRUE,FALSE,FALSE,2025-02-16,TRUE,High
GVP038,18,17.756208,83.312161,226,41,0,6,interior,mixed,high,TRUE,TRUE,TRUE,2025-01-06,TRUE,Low
GVP039,18,17.751856,83.327976,171,11,3,5,interior,mixed,low,TRUE,TRUE,FALSE,2025-01-17,TRUE,Low
GVP040,18,17.757413,83.305149,68,150,4,1,main,mixed,high,TRUE,FALSE,FALSE,2025-02-21,TRUE,High
GVP041,18,17.731739,83.317822,583,14,1,6,interior,commercial,medium,TRUE,FALSE,FALSE,2025-02-19,TRUE,Low
GVP042,18,17.723874,83.287371,88,161,2,1,interior,mixed,high,TRUE,TRUE,FALSE,2025-01-04,TRUE,High
GVP043,18,17.754609,83.313785,44,274,2,1,interior,commercial,medium,FALSE,TRUE,TRUE,2025-01-20,TRUE,High
GVP044,18,17.734479,83.283823,181,70,4,3,interior,commercial,medium,TRUE,TRUE,TRUE,2025-02-07,TRUE,Medium
GVP045,18,17.746203,83.327637,96,71,1,5,interior,residential,high,FALSE,TRUE,FALSE,2025-02-27,TRUE,Medium
GVP046,18,17.727953,83.327498,160,122,3,3,interior,commercial,high,TRUE,FALSE,FALSE,2025-01-25,TRUE,Medium
GVP047,18,17.720087,83.317537,90,100,3,4,main,residential,high,TRUE,FALSE,FALSE,2025-01-24,TRUE,Medium
GVP048,18,17.76994,83.309459,160,68,2,4,interior,commercial,low,FALSE,TRUE,TRUE,2025-02-23,TRUE,Medium
GVP049,18,17.766779,83.292466,133,144,2,5,interior,mixed,medium,TRUE,FALSE,FALSE,2025-02-26,TRUE,Medium
GVP050,18,17.765671,83.327035,221,63,4,4,main,mixed,low,TRUE,FALSE,FALSE,2025-02-09,TRUE,Medium
GVP051,18,17.763474,83.304279,220,58,4,7,main,residential,medium,FALSE,FALSE,FALSE,2025-01-20,TRUE,Low
GVP052,18,17.74031,83.291933,93,215,3,2,interior,residential,low,TRUE,TRUE,TRUE,2025-02-02,TRUE,High
GVP053,18,17.742649,83.296642,200,123,3,3,interior,residential,high,TRUE,TRUE,TRUE,2025-01-12,TRUE,Medium
GVP054,18,17.735964,83.298415,202,103,4,3,main,residential,high,FALSE,FALSE,FALSE,2025-02-17,TRUE,Medium
GVP055,18,17.733512,83.317606,257,43,3,6,interior,mixed,medium,TRUE,TRUE,TRUE,2025-01-18,TRUE,Low
GVP056,18,17.75229,83.301592,59,213,2,2,main,residential,low,FALSE,FALSE,FALSE,2025-01-01,TRUE,High
GVP057,18,17.762773,83.328612,160,69,1,5,main,residential,low,TRUE,TRUE,FALSE,2025-01-06,TRUE,Medium
GVP058,18,17.759115,83.291629,15,291,0,1,interior,residential,high,FALSE,FALSE,TRUE,2025-01-07,TRUE,High
GVP059,18,17.767177,83.289585,303,14,2,7,main,mixed,low,TRUE,FALSE,FALSE,2025-01-18,TRUE,Low
GVP060,18,17.743765,83.291738,92,230,1,1,main,commercial,high,FALSE,TRUE,TRUE,2025-01-13,TRUE,High
GVP061,18,17.741001,83.292863,232,123,3,5,interior,residential,medium,TRUE,FALSE,FALSE,2025-01-24,TRUE,Medium
GVP062,18,17.720338,83.294606,60,324,4,1,main,residential,medium,TRUE,FALSE,TRUE,2025-01-15,TRUE,High
GVP063,18,17.758024,83.294747,263,39,4,6,interior,mixed,low,TRUE,FALSE,FALSE,2025-02-28,TRUE,Low
GVP064,18,17.727319,83.299673,178,52,1,7,main,mixed,low,FALSE,TRUE,TRUE,2025-01-12,TRUE,Low
GVP065,18,17.764179,83.316636,175,110,0,5,main,commercial,low,TRUE,FALSE,TRUE,2025-01-20,TRUE,Medium
GVP066,18,17.769249,83.302122,58,320,0,2,main,residential,medium,TRUE,FALSE,FALSE,2025-02-26,TRUE,High
GVP067,18,17.739006,83.318437,437,17,2,5,interior,residential,low,FALSE,TRUE,FALSE,2025-02-04,TRUE,Low
GVP068,18,17.738212,83.32485,109,117,0,4,interior,residential,high,FALSE,TRUE,FALSE,2025-01-03,TRUE,Medium
GVP069,18,17.732851,83.317364,182,39,4,5,interior,commercial,medium,FALSE,TRUE,FALSE,2025-02-17,TRUE,Low
GVP070,18,17.766211,83.29487,98,333,4,2,main,residential,low,TRUE,FALSE,FALSE,2025-02-19,TRUE,High
GVP071,18,17.765677,83.32074,554,34,1,6,interior,residential,low,FALSE,TRUE,TRUE,2025-01-21,TRUE,Low
GVP072,18,17.759192,83.309786,385,30,4,6,main,commercial,low,TRUE,FALSE,TRUE,2025-02-11,TRUE,Low
GVP073,18,17.747231,83.288035,183,64,3,5,main,residential,medium,TRUE,TRUE,TRUE,2025-01-27,TRUE,Medium
GVP074,18,17.72866,83.286647,513,41,3,6,main,mixed,high,TRUE,FALSE,FALSE,2025-01-18,TRUE,Low
GVP075,18,17.732703,83.293017,128,132,3,4,main,residential,low,TRUE,TRUE,FALSE,2025-02-26,TRUE,Medium
