gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level,cluster_id,risk_score,computed_risk_tier,predicted_root_cause
GVP027,17.762479,83.313799,9,8,0.8888888888888888,13.25,14.714285714285714,26,343,2,False,False,high,High,2,0.9193,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP058,17.759115,83.291629,10,9,0.9,12.11111111111111,13.625,15,291,1,False,False,high,High,2,0.9137,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP062,17.720338,83.294606,7,6,0.8571428571428571,12.166666666666666,12.166666666666666,60,324,1,True,False,medium,High,0,0.8981,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP066,17.769249,83.302122,9,8,0.8888888888888888,10.0,11.428571428571429,58,320,2,True,False,medium,High,-1,0.897,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP070,17.766211,83.29487,9,8,0.8888888888888888,9.75,9.75,98,333,2,True,False,low,High,2,0.8943,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP033,17.740235,83.297378,7,6,0.8571428571428571,10.333333333333334,11.2,91,330,1,False,False,low,High,0,0.8935,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP043,17.754609,83.313785,9,8,0.8888888888888888,12.25,14.285714285714286,44,274,1,False,True,medium,High,2,0.8897,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP037,17.739699,83.294982,8,7,0.875,11.428571428571429,11.571428571428571,85,252,1,True,False,high,High,0,0.8579,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP060,17.743765,83.291738,10,9,0.9,11.77777777777778,13.25,92,230,1,False,True,high,High,0,0.8566,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP004,17.756918,83.299895,10,9,0.9,10.555555555555555,9.75,46,205,1,False,False,medium,High,2,0.8537,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP011,17.761443,83.288072,9,8,0.8888888888888888,10.375,10.428571428571429,43,237,2,True,True,medium,High,2,0.851,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP018,17.758184,83.296299,8,7,0.875,10.0,13.8,74,224,1,False,False,low,High,2,0.844,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP013,17.729996,83.304639,8,7,0.875,10.0,11.833333333333334,61,211,1,False,True,medium,High,0,0.8396,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
